url,label
https://secure.amazon.io/category/item#top,legitimate
http://fb-help.tk/confirm.html,phishing
http://app.ebay.io/products?search=query&page=2#section1,legitimate
https://mail.microsoft.dev/category/item?session_id=abcxyz#section1,legitimate
http://shop.wikipedia.dev,legitimate
http://wikipedia.org/articles/news?session_id=abcxyz,legitimate
https://google.com.microsoft-login.ru/login,phishing
http://google.org/products#section1,legitimate
http://login.login.appleid-verify.xyz/webscr/verify/account?user=7253&user=5693,phishing
http://secure.apple.io/category/item#top,legitimate
http://123.45.67.89/account,phishing
http://paypol.com/banking,phishing
http://10.0.0.5/verify,phishing
https://trusted-site.com/_login_/login,phishing
https://amazon.com?id=123#top,legitimate
https://verify-account.net/confirm.html,phishing
http://blog.amazon.net/category/item,legitimate
https://google.com#top,legitimate
http://10.0.0.5/verify,phishing
http://192.168.1.1/login,phishing
http://paypal.com.login-secure.com/login,phishing
http://trusted-site.com/_login_/account,phishing
https://shop.wikipedia.net?search=query&page=2,legitimate
http://blog.youtube.net/category/item?session_id=abcxyz#section1,legitimate
https://blog.facebook.net/category/item,legitimate
https://ebay.dev/articles/news?session_id=abcxyz,legitimate
https://apple.io,legitimate
https://fb-help.tk/webscr.html,phishing
https://amazon.com.paypal-safe.info/login,phishing
https://app.apple.dev,legitimate
http://secure.ebay.dev/category/item?id=123,legitimate
http://youtube.org?search=query&page=2,legitimate
http://docs.web.web.secure.fb-help.tk/banking?id=2800,phishing
https://trusted-site.com/_login_/confirm,phishing
http://google.com.verify-account.net/login,phishing
https://app.facebook.org/articles/news#section1,legitimate
http://192.168.1.1/login,phishing
http://123.45.67.89/account,phishing
http://mail.apple.dev/articles/news,legitimate
http://www.youtube.dev/user/profile?id=123,legitimate
http://172.16.0.10/update,phishing
http://web.web.web.login.secure.update-banking.org/verify/banking?user=1408&id=6776,phishing
http://123.45.67.89/account,phishing
https://blog.google.io/products?search=query&page=2#section1,legitimate
https://youtube.net/category/item?id=123,legitimate
https://www.youtube.dev?search=query&page=2#section1,legitimate
http://secure.youtube.io#section1,legitimate
http://facebook.com/user/profile?session_id=abcxyz#top,legitimate
http://123.45.67.89/account,phishing
https://legit-looking.net/verify.php/banking,phishing
http://10.0.0.5/verify,phishing
https://google.com/products#top,legitimate
http://123.45.67.89/account,phishing
http://trusted-site.com/login///banking,phishing
https://appie.com/,phishing
https://blog.wikipedia.com/articles/news?search=query&page=2#section1,legitimate
http://mail.amazon.org/category/item?search=query&page=2,legitimate
https://mail.microsoft.org/user/profile?search=query&page=2#section1,legitimate
https://googie.com/,phishing
https://www.wikipedia.net/products,legitimate
http://amaz0n.com/,phishing
http://blog.wikipedia.com/category/item?search=query&page=2,legitimate
http://amazon.com.paypal-safe.info/login,phishing
https://secure.apple.com/products,legitimate
https://gooogle.com/,phishing
https://micr0soft.com/,phishing
http://facebook.dev/articles/news?session_id=abcxyz#top,legitimate
http://10.0.0.5/verify,phishing
https://login.docs.docs.login.login-secure.com/login/banking?id=8898&user=6336,phishing
http://login.web.secure.paypal-safe.info/verify?id=7347,phishing
http://www.facebook.io?search=query&page=2,legitimate
http://login.web.web.google-security.pw/secure/login?id=7468&user=7091,phishing
https://app.microsoft.net/category/item?session_id=abcxyz#top,legitimate
http://paypal.com.login-secure.com/login,phishing
http://123.45.67.89/account,phishing
http://10.0.0.5/verify,phishing
https://app.facebook.dev/products,legitimate
http://appleid-verify.xyz/secure.html,phishing
http://secure.docs.docs.secure.fb-help.tk/login?user=3081,phishing
http://appe.com/,phishing
http://web.secure.secure.web.appleid-verify.xyz/account/verify/banking?user=9282,phishing
http://app.microsoft.dev/user/profile?session_id=abcxyz#section1,legitimate
https://mail.facebook.net/articles/news?search=query&page=2,legitimate
https://legit-looking.net@login/secure,phishing
https://trusted-site.com/login///login,phishing
https://app.youtube.com#top,legitimate
https://mail.microsoft.net/products#section1,legitimate
http://web.secure.secure.fb-help.tk/secure/webscr/update?id=1171,phishing
https://secure.wikipedia.io/user/profile?search=query&page=2#top,legitimate
http://docs.login.login.secure.login.login-secure.com/account/confirm/login?token=3340&id=7709,phishing
https://secure.secure.login.docs.fb-help.tk/confirm/password/banking?token=2058&user=2383,phishing
http://172.16.0.10/update,phishing
http://apple.net/products?session_id=abcxyz#section1,legitimate
http://google.com.paypal-safe.info/login,phishing
http://youtube.dev,legitimate
